"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","1. Модель и сервинг","Поднять self-hosted LLM (Qwen3-14B + Ollama)","Инфра","Сложная","1-2ч","Не начато","Развернуть свою модель на сервере с GPU 24 ГБ и убедиться что она держит русский и вызовы инструментов.","Независимость от внешних API — базовое требование; всё остальное строится на этом.","сервер (Ollama); back/.env.example (LLM_BASE_URL; LLM_MODEL); docs/STATUS.md","Установить Ollama; ollama pull qwen3:14b (Q4); дымовой тест: русский диалог + tool calling через OpenAI-совместимый /v1/chat/completions; замерить скорость токенов; запасной вариант — gemma3:27b-q4; зафиксировать выбор и замеры в docs/STATUS.md; vLLM — прод-опция позже без смены кода.","Модель отвечает по-русски; корректно вызывает тестовый инструмент; endpoint доступен бэкенду по LLM_BASE_URL."
FALSE,"2","1. Модель и сервинг","LLM-клиент бэкенда","Бэкенд","Средняя","1-2ч","Не начато","Один модуль общения с моделью: чат; инструменты; стриминг — без привязки к конкретному серверу.","Смена модели или переезд Ollama на vLLM = одна переменная .env; код не трогаем.","новый back/services/llm.py; back/.env.example","chat(messages; tools; stream) по OpenAI-совместимому протоколу через aiohttp (уже в requirements); base_url и model из .env (паттерн back/security.py); таймауты и понятная ошибка если LLM-сервер лежит.","Из консоли бэкенда уходит запрос и приходит стрим-ответ; при выключенном Ollama — внятная ошибка а не зависание."
FALSE,"3","2. Ассистент-агент","Схемы AI; CRUD сессий и настроек","Бэкенд","Средняя","1-2ч","Не начато","Заполнить схемы; сделать сессии чата и настройки ассистента (модель; язык; промпт; конфиги TG/IG-агентов).","Контракт aiApi уже ждёт 7 эндпоинтов; настройки — база системного промпта.","back/schemas/ai/chat.py; settings.py; back/routers/ai/chat.py; новый back/routers/ai/settings.py; front/src/api/ai/ai.types.ts","GET/POST/DELETE /ai/sessions; GET /ai/sessions/{id}/messages; GET/PATCH /ai/settings (get-or-create; дефолт model — свой self-hosted вместо gpt-4o); закрыть гэп типов: добавить tg_max_length/ig_max_length и статистику handled_count/avg_rating во фронт-тип AISettings; скоуп по studio_id; сессии — свои для каждого пользователя.","Сессия создаётся/удаляется; настройки переживают перезапуск; поля типов совпадают со схемами."
FALSE,"4","2. Ассистент-агент","Реестр инструментов с ролевым скоупом","Бэкенд","Сложная","1-2ч","Не начато","Набор инструментов ассистента: расписание; клиенты; статистика; настройки; навигация — каждый работает от имени и роли пользователя.","Взаимодействует с графиком; знает роль; помогает со статистикой — сердце фичи; безопасность: тренер через ИИ не достанет чужое.","новый back/services/ai_tools.py","Описать инструменты в формате OpenAI tools: get_schedule(date_from; date_to); create_lesson(...); get_clients(search); get_client(id); book_client(...); get_stats(period) — агрегаты Эпика 3; get_settings/update_setting; navigate(page) — enum страниц CRM; каждый инструмент вызывает ту же логику что обычные эндпоинты с get_studio_context и require_role текущего пользователя; у каждого флаг mutating: true/false.","Вызов get_schedule тренером возвращает только его занятия; get_stats отдаёт цифры /analytics/summary; mutating-флаги проставлены."
FALSE,"5","2. Ассистент-агент","Агентный цикл: LLM и инструменты","Бэкенд","Сложная","1-2ч","Не начато","Обработка сообщения: модель думает; зовёт инструменты; получает результаты; отвечает по-русски.","Превращает чат-болталку в ассистента который реально смотрит в данные студии.","back/routers/ai/chat.py","POST /ai/sessions/{id}/messages: системный промпт = роль + имя студии + сегодняшняя дата + текущая страница (передаёт фронт) + system_prompt из StudioAISettings; цикл: ответ модели → если tool_calls — исполнить safe-инструменты → результаты обратно в модель; лимит 6 итераций; mutating-инструменты НЕ исполнять (задача 6); сохранить user+assistant сообщения в AIChatMessage; обновить preview сессии.","Вопрос сколько занятий у меня завтра отвечает реальными данными из БД с учётом роли; история сохраняется."
FALSE,"6","2. Ассистент-агент","Подтверждение изменяющих действий","Бэкенд","Сложная","1-2ч","Не начато","ИИ не меняет данные молча: предлагает действие; человек подтверждает кнопкой; только тогда исполняется.","Менять что-то без этого опасно: галлюцинация модели не должна портить расписание студии.","back/routers/ai/chat.py; back/services/ai_tools.py","Когда модель зовёт mutating-инструмент — не исполнять; вернуть в ответе структурный блок action_proposal {tool; args; человекочитаемое описание}; POST /ai/actions/execute (tool; args) — исполняет с теми же ролевыми проверками после подтверждения на фронте; проверять что tool из реестра а args валидны по его схеме.","Создай занятие завтра в 10 возвращает предложение а не создаёт; execute создаёт; тренер не может выполнить чужое действие."
FALSE,"7","2. Ассистент-агент","Стриминг ответов (SSE)","Бэкенд","Средняя","1-2ч","Не начато","Ответ прилетает токен за токеном плюс статусы смотрю расписание...","Локальная модель отвечает секундами — без стрима ассистент ощущается зависшим (боль долгие ответы).","back/routers/ai/chat.py","StreamingResponse (text/event-stream) поверх задачи 5: события token; tool_status (имя инструмента); action_proposal; done; полное сообщение в БД по завершении.","В curl виден постепенный поток событий; между вызовами инструментов приходят статусы."
FALSE,"8","3. AI-фронтенд","Раздел Velora AI на реальный API","Фронтенд","Сложная","1-2ч","Не начато","Страница AI: живой стрим-чат; история сессий с сервера; настройки ассистента и TG/IG-агентов сохраняются.","Главная витрина ИИ перестаёт отвечать четырьмя заготовленными фразами.","front/src/pages/dashboard/AI/hooks/useAIChat.ts; useAIAgent.ts; AI/constants.ts; components/LeftPanel.tsx; modals/AgentSetupModal.tsx; front/src/api/ai/ai.api.ts","useAIChat → aiApi + чтение SSE (fetch + ReadableStream); история и сессии с сервера; выпилить MOCK_SESSIONS/MOCK_AI_RESPONSES; MODEL_OPTIONS заменить на свои self-hosted модели (qwen3-14b; gemma3-27b); useAIAgent.saveConfig → PATCH /ai/settings; статистика агентов из handled_count/avg_rating.","Вопрос по студии получает стрим-ответ с реальными цифрами; F5 сохраняет историю; настройки агентов переживают перезапуск."
FALSE,"9","3. AI-фронтенд","Единый чат-движок: дровер; AI-строка; Журнал","Фронтенд","Сложная","1-2ч","Не начато","Все четыре точки входа ИИ работают через одну серверную историю вместо четырёх независимых моков.","ROADMAP/ТЗ 12.4 требуют единую историю; сейчас четыре разных заглушки.","новый front/src/hooks/useAssistant.ts (общий); components/AIDrawer/hooks/useDrawerChat.ts; AIDrawer/constants.ts; layouts/DashboardLayout.tsx (handleAskAi); pages/dashboard/Journal/components/AiChat.tsx","Вынести SSE-чат-логику из задачи 8 в общий хук useAssistant(sessionId); дровер и Журнал — те же /ai/sessions (сессии общие с разделом AI); AI-строка в шапке: handleAskAi → быстрый вопрос в новую/последнюю сессию с ответом в выпадашке; передавать текущий route как контекст страницы; выпилить MOCK_DRAWER_* и хардкод-фразы.","Начатый в дровере диалог виден в истории раздела AI; AI-строка отвечает реальными данными; Журнальный чат знает про текущий день расписания."
FALSE,"10","3. AI-фронтенд","Действия ассистента в UI: навигация и подтверждения","Фронтенд","Сложная","1-2ч","Не начато","Открой отчёты реально переводит на страницу; создай занятие рисует карточку подтверждения с кнопкой.","Замыкает главные обещания фичи: переносить по страницам и менять данные безопасно.","front/src/hooks/useAssistant.ts; AIDrawer/components/ChatView.tsx; AI/components/MessageBubble.tsx (карточка действия)","Обрабатывать событие navigate → useNavigate() на маршрут из enum; action_proposal → карточка в чате (описание; Подтвердить/Отмена); подтверждение → POST /ai/actions/execute → тост об успехе и инвалидация данных страницы; отказ — сообщение в чат.","Открой финансы переходит в Финансы; запиши Анну на завтра 10:00 после подтверждения создаёт запись видимую в Журнале."
