"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","1. Схемы","Схемы занятия (Lesson)","Бэкенд","Средняя","1-2ч","Не начато","Описать в каком виде занятие приходит и уходит с сервера.","Без общего формата фронт и бэк не поймут друг друга.","back/schemas/schedule/lessons.py","Заполнить LessonRead; LessonCreate; LessonUpdate по модели Lesson; в LessonRead добавить booked_count = число записей со статусом НЕ cancelled (единое правило с staff/schedule.py; заодно привести clients booking к тому же счёту).","Три схемы есть; booked_count присутствует; правило подсчёта одно и то же в Журнале и в клиентах/сотрудниках; поля совпадают с front/src/api/schedule/schedule.types.ts"
FALSE,"2","1. Схемы","Схемы записи клиента и зала","Бэкенд","Простая","1ч","Не начато","Описать формат клиент записан на занятие и зал для колонок сетки.","Нужно для брони клиентов и для колонок-залов.","back/schemas/schedule/reservations.py; back/schemas/schedule/halls.py","Добавить ReservationRead; HallRead (id; name; color; capacity; is_online).","Схемы есть и совпадают с типами фронта"
FALSE,"3","2. Бэкенд Чтение","Список занятий за диапазон дат","Бэкенд","Сложная","1-2ч","Не начато","Отдавать занятия только за видимые дни (день или неделя); не всю базу.","Скорость: грузим окно дат а не тысячи занятий.","back/routers/schedule/lessons.py","GET /schedule/lessons с параметрами date_from; date_to; hall_id; фильтр по studio_id через get_studio_context; при роли teacher принудительно фильтровать по teacher_id текущего пользователя — тренер видит только свои занятия (ТЗ 2.3); в ответ класть booked_count.","GET за неделю возвращает занятия только этих 7 дней; у каждого верное число записанных; тренер получает только свои занятия"
FALSE,"4","2. Бэкенд Чтение","Детали одного занятия","Бэкенд","Простая","1ч","Не начато","Отдать полную инфу по одному занятию.","Для попапа занятия по клику.","back/routers/schedule/lessons.py","GET /schedule/lessons/{id} со скоупом по студии; 404 если чужое; тренеру чужое занятие — тоже 404.","Свой id отдаёт данные; чужой id — 404; тренер не открывает чужое занятие"
FALSE,"5","2. Бэкенд Чтение","Список залов для сетки","Бэкенд","Простая","1ч","Не начато","Отдать залы студии для колонок и фильтров расписания.","Сетка строится по залам и тренерам.","back/routers/schedule/halls.py","GET /schedule/halls со скоупом по студии; только активные. ТОЛЬКО чтение — создание и правка залов живут в Каталоге (Эпик 1); лишние createHall/updateHall на /schedule НЕ использовать.","Эндпоинт отдаёт реальные залы студии; управление залами не задвоено с Каталогом"
FALSE,"6","3. Бэкенд Запись","Правило тренер меняет только своё","Бэкенд","Средняя","1-2ч","Не начато","Общая проверка: тренер трогает только свои занятия; владелец и админ — любые.","Ролевой скоуп; иначе тренер поменяет чужое расписание.","back/routers/schedule/lessons.py; back/dependencies.py","Хелпер: берёт занятие; сверяет teacher_id с текущим юзером; для owner/admin пропускает всё; иначе 403. Образец проверки teacher_id уже есть в staff/schedule.py (cancel_lesson) — переиспользовать.","Тренер получает 403 при правке чужого занятия; своё — ок; владелец правит любое"
FALSE,"7","3. Бэкенд Запись","Создать занятие","Бэкенд","Средняя","1-2ч","Не начато","Сохранять новое занятие в базу.","Кнопка Создать занятие должна реально работать.","back/routers/schedule/lessons.py","POST /schedule/lessons; проставить studio_id; заполнить teacher_name по teacher_id (обязательное денормализованное поле); проверить лимит группы 1-50; конец позже начала.","Созданное занятие видно после перезагрузки страницы; имя тренера на карточке верное"
FALSE,"8","3. Бэкенд Запись","Изменить; перенести; растянуть занятие","Бэкенд","Сложная","1-2ч","Не начато","Одно действие сохраняет перенос по времени; смену зала и тренера; новую длительность.","Прямое сохранение drag-n-drop и растягивания за края.","back/routers/schedule/lessons.py","PATCH /schedule/lessons/{id}; менять start_time; duration_min; hall_id; teacher_id; name; total_spots; при смене teacher_id обновлять teacher_name; те же проверки + скоуп тренера (задача 6).","Перенос карточки сохраняется; после F5 занятие на новом месте; после смены тренера на карточке его имя"
FALSE,"9","3. Бэкенд Запись","Отменить занятие","Бэкенд","Простая","1ч","Не начато","Пометить занятие отменённым.","Кнопка Удалить занятие в попапе.","back/routers/schedule/lessons.py","PATCH /schedule/lessons/{id}/cancel; статус cancelled; со скоупом тренера. Готовый образец (отмена + каскад резерваций) уже есть в staff/schedule.py:cancel_lesson — переиспользовать.","После отмены статус занятия = cancelled и его активные записи тоже отменены"
FALSE,"10","3. Бэкенд Запись","Записать клиента на занятие","Бэкенд","Средняя","1-2ч","Не начато","Добавить клиента в занятие с проверкой мест и без дублей.","Модалка Добавить клиента должна реально записывать.","back/routers/schedule/reservations.py","POST /schedule/reservations (client_id; lesson_id); переиспользовать логику из clients booking (лимит мест; запрет двойной записи).","Клиент появляется в занятии; при полном зале ошибка; повторно того же клиента нельзя"
FALSE,"11","3. Бэкенд Запись","Отменить запись клиента","Бэкенд","Простая","1ч","Не начато","Убрать клиента с занятия.","Освобождение места в группе.","back/routers/schedule/reservations.py","PATCH /schedule/reservations/{id}/cancel; статус cancelled; освободить место.","После отмены место свободно; booked_count уменьшился"
FALSE,"12","4. Фронтенд","Переходник данных и загрузка за диапазон","Фронтенд","Сложная","1-2ч","Не начато","Заменить выдуманные занятия; тренеров и залы на реальные; грузить только видимые дни.","Сейчас всё нарисовано и сбрасывается после F5.","front/src/pages/dashboard/Journal/Journal.tsx; Journal/utils.ts; новый Journal/hooks/useSchedule.ts; front/src/api/schedule/schedule.api.ts","Написать переходник Lesson↔Booking (datetime↔индексы времени; teacher_id↔колонка); грузить занятия за выбранный день или неделю; тренеров брать из Сотрудников; залы из /schedule/halls; в getLessons добавить date_from/date_to.","Реальные занятия видны в сетке; переключение дня и недели дозагружает нужный диапазон"
FALSE,"13","4. Фронтенд","Создание и удаление занятия онлайн","Фронтенд","Средняя","1-2ч","Не начато","Кнопки Создать и Удалить занятие шлют запрос на сервер.","Занятия должны сохраняться а не жить в памяти вкладки.","front/src/pages/dashboard/Journal/components/modals/NewBookingModal.tsx; Journal/Journal.tsx","В создании и удалении вызвать scheduleApi.createLesson и cancelLesson; обновлять сетку после ответа.","Создал и удалил занятие; после F5 состояние сохранилось"
FALSE,"14","4. Фронтенд","Прямое сохранение переноса и растягивания","Фронтенд","Сложная","1-2ч","Не начато","Отпустил карточку — сразу летит запрос сохранения; без серверных черновиков.","Главная фича Журнала: drag-n-drop реально меняет расписание.","front/src/pages/dashboard/Journal/hooks/useDragAndDrop.ts; Journal/Journal.tsx","На отпустил карточку вызвать scheduleApi.updateLesson с новым временем; залом; тренером; откат если сервер ответил ошибкой.","Перетащил занятие; обновил страницу; оно на новом месте в базе"
FALSE,"15","4. Фронтенд","Запись клиентов и сводка дня","Фронтенд","Средняя","1-2ч","Не начато","Модалка добавления клиента реально записывает; цифры сводки дня из реальных данных.","Замкнуть цикл: запись клиента и честная статистика дня.","front/src/pages/dashboard/Journal/components/modals/AddClientModal.tsx; Journal/components/BookingPopup.tsx; Journal/components/DaySummary.tsx; front/src/api/schedule/schedule.api.ts; schedule.types.ts","Добавление клиента → scheduleApi.createReservation(client_id; lesson_id) — расширить createReservation параметром client_id (сейчас шлёт только lesson_id); отмена → cancelReservation; счётчики сводки считать из загруженных занятий.","Записал клиента; счётчик мест вырос; сводка дня совпадает с реальными занятиями"
FALSE,"16","4. Фронтенд","Кнопка Записать в карточке клиента","Фронтенд","Простая","1ч","Не начато","Кнопка Записать в панели быстрых действий клиента реально записывает его на занятие.","Долг из Эпика 1; бэкенд POST /clients/{id}/booking уже готов — нужен только фронт.","front/src/pages/dashboard/Clients/* (панель быстрых действий в карточке)","Заменить заглушку-уведомление вызовом уже существующего POST /clients/{id}/booking (выбор занятия и времени).","Из карточки клиента можно записать на занятие; запись видна в Журнале и переживает F5"
FALSE,"17","4. Фронтенд","Кнопка Добавить событие у сотрудника","Фронтенд","Средняя","1-2ч","Не начато","Кнопка Добавить в блоке Расписание на сегодня сотрудника создаёт занятие для него.","Долг из Эпика 1 (ТЗ 6.3.2); бэкенд — тот же POST /schedule/lessons из задачи 7.","front/src/pages/dashboard/Staff/* (расписание на сегодня)","Подключить кнопку к scheduleApi.createLesson с проставленным teacher_id этого сотрудника; обновить блок после ответа.","Нажатие создаёт занятие для сотрудника; оно видно и в его расписании и в Журнале"
