"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","1. Модель подписки","Миграция под Fondy и схемы биллинга","Бэкенд","Средняя","1-2ч","Не начато","Добавить в базу два недостающих поля (order_id инвойса и rectoken карты) и описать форматы данных.","Без order_id не работают ни вебхук ни идемпотентность; без rectoken нет привязки карты; первая миграция за все эпики.","back/models/settings.py; back/schemas/settings/billing.py; alembic revision","В BillingInvoice добавить order_id (str; unique; index) и period_months (int; default 1); статус по умолчанию сделать pending; в PaymentCard добавить rectoken (str; nullable); alembic revision --autogenerate → upgrade head; заполнить схемы BillingPlanRead; InvoiceRead; PaymentCardRead; CheckoutRequest/Response 1:1 с front/src/api/billing/billing.types.ts.","Миграция применяется и откатывается; схемы импортируются; поля совпадают с фронт-типами."
FALSE,"2","1. Модель подписки","Каталог тарифов и текущая подписка","Бэкенд","Средняя","1-2ч","Не начато","Сервер знает 3 тарифа с ценами; скидками и лимитами и отдаёт текущую подписку студии и историю счетов.","Сейчас цены живут только во фронт-моках — сервер станет источником истины; сумма оплаты будет считаться только тут.","новые back/routers/billing/router.py и plans.py; регистрация /billing в back/main.py","Константы PLANS (start 990; pro 2490; business 5990 — в копейках; скидки 1/6/12/24 мес = 0/20/30/40%; лимиты: start — 3 сотрудника/100 клиентов; pro — 15/1000; business — безлимит); GET /billing/plans (каталог); GET /billing/plan (подписка студии; get-or-create со start); GET /billing/invoices; GET /billing/cards; require_role(owner).","Swagger отдаёт каталог; подписку и пустую историю; цены совпадают с фронтовыми."
FALSE,"3","2. Fondy","Fondy-клиент и криптоподпись","Бэкенд","Сложная","1-2ч","Не начато","Модуль общения с Fondy: построить подпись; проверить подпись; создать ссылку на оплату.","Ядро интеграции; подпись — защита от фейкового вебхука Оплачено.","новый back/services/fondy.py; back/.env.example","build_signature(params): SHA1 от секрета + отсортированные по ключу непустые параметры через вертикальную черту (схема Fondy); verify_signature(payload) для вебхуков; create_checkout(order_id; amount; description; server_callback_url; response_url; required_rectoken=Y) через aiohttp (уже в requirements) → POST api.fondy.eu/api/checkout/url → checkout_url; креды FONDY_MERCHANT_ID/FONDY_PASSWORD/FONDY_CURRENCY из .env по паттерну back/security.py; для дева — тестовый мерчант Fondy.","Юнит-проверка: подпись совпадает с примером из документации Fondy; неверная подпись не проходит verify; checkout_url открывается в тестовом режиме."
FALSE,"4","2. Fondy","Создание платежа (checkout)","Бэкенд","Средняя","1-2ч","Не начато","Выбор тарифа и периода создаёт счёт в статусе pending и возвращает ссылку на страницу оплаты Fondy.","Начало платёжного цикла; сумма считается на сервере — фронту не доверяем.","новый back/routers/billing/checkout.py; подключить в billing/router.py","POST /billing/checkout (plan; period_months): валидировать по каталогу задачи 2; посчитать сумму со скидкой на сервере; создать BillingInvoice status=pending с уникальным order_id (velora-{invoice_id}-{uuid4}); вызвать fondy.create_checkout; вернуть {checkout_url}; повторный checkout по тому же плану — новый инвойс (старые pending протухают у Fondy сами).","POST возвращает рабочую ссылку; в базе pending-инвойс с order_id; сумма за 12 мес Pro = 2490×12×0.7 в копейках."
FALSE,"5","2. Fondy","Вебхук: подпись; идемпотентность; активация","Бэкенд","Сложная","1-2ч","Не начато","Публичный приёмник колбэков от банка: проверяет подпись; не даёт начислить тариф дважды; активирует подписку.","Самая критичная задача эпика — вебхук; подпись и идемпотентность сходятся здесь.","новый back/routers/billing/webhook.py; подключить в billing/router.py","POST /billing/webhook/fondy — без JWT (паттерн auth/register.py); шаги строго по порядку: 1) verify_signature — неверная → 403 и лог; 2) найти инвойс по order_id — нет → 200 и лог (не 404 — банку нельзя отвечать ошибкой на мусор); 3) идемпотентность: инвойс уже paid и пришёл approved → 200 no-op; 4) approved → status=paid; paid_at=now; активировать/продлить StudioBillingPlan (plan_name; expires_at += period_months; status=active); сохранить rectoken+masked_card в PaymentCard (upsert по user_id); 5) declined/expired → status=failed; всегда отвечать 200 после валидной обработки.","Тестовая оплата активирует подписку; повторная отправка того же вебхука ничего не меняет (тариф не начислен дважды); вебхук с подделанной подписью → 403 и никаких изменений в базе."
FALSE,"6","2. Fondy","Возвраты (refund)","Бэкенд","Сложная","1-2ч","Не начато","Владелец может вернуть платёж; возврат откатывает подписку.","Обязательная часть платёжки по ROADMAP; без него споры решаются вручную через саппорт банка.","back/routers/billing/checkout.py (или новый refunds.py); back/services/fondy.py; back/routers/billing/webhook.py","POST /billing/invoices/{id}/refund (require_role(owner)): только для paid-инвойсов; вызвать Fondy reverse (order_id; amount; currency + подпись); повторный refund — 409; в вебхуке обработать order_status=reversed → инвойс status=refunded + откат подписки (expires_at −= period_months; если в прошлом — status=expired).","Возврат тестового платежа помечает инвойс refunded; подписка откатилась; второй refund того же инвойса — 409."
FALSE,"7","2. Fondy","Продление по сохранённой карте (rectoken)","Бэкенд","Средняя","1-2ч","Не начато","Кнопка Продлить списывает оплату по сохранённой карте без редиректа на форму.","Удержание: продление в один клик; фундамент будущего автосписания.","back/routers/billing/checkout.py; back/services/fondy.py","POST /billing/renew: взять rectoken из PaymentCard (нет карты → 400); создать pending-инвойс с новым order_id; вызвать Fondy recurring (rectoken + подпись); итоговый статус придёт в тот же вебхук задачи 5; автосписание по крону НЕ делаем (нет планировщика) — auto_renewal остаётся флагом для UI.","Продление без редиректа создаёт paid-инвойс через вебхук; expires_at сдвинулся на период; без сохранённой карты — 400."
FALSE,"8","3. Лимиты тарифа","Применение лимитов тарифа","Бэкенд","Средняя","1-2ч","Не начато","Тариф Старт не даёт завести больше 3 сотрудников и 100 клиентов; Pro — свои лимиты.","Монетизация без лимитов не работает — незачем платить за Pro.","новый back/services/plan_limits.py; вызовы в POST создания сотрудника (back/routers/staff) и клиента (back/routers/clients/profiles.py)","check_plan_limit(db; studio_id; entity): взять план студии (нет строки — считать start); сравнить COUNT сотрудников/клиентов с лимитом каталога задачи 2; превышение → 403 с detail-кодом limit_exceeded и понятным текстом; истёкшая подписка (expires_at < now) блокирует создание так же.","На Старте 4-й сотрудник и 101-й клиент получают 403 limit_exceeded; после апгрейда на Pro — создаются; Business не ограничен."
FALSE,"9","4. Фронтенд","billing.api под новый контракт","Фронтенд","Средняя","1-2ч","Не начато","Переписать api-модуль: оплата через ссылку Fondy вместо мгновенного апгрейда; форму ввода карты упразднить.","Старый контракт (addPaymentCard с номером карты) небезопасен и не соответствует Fondy-потоку.","front/src/api/billing/billing.api.ts; billing.types.ts","getPlans (каталог); checkout(plan; period_months) → {checkout_url}; renew(); refundInvoice(id); getPlan/getInvoices/getPaymentCards оставить; addPaymentCard УДАЛИТЬ (карта появляется из вебхука после первой оплаты — номера карт наш сервер не видит); типы 1:1 со схемами задачи 1.","Типы компилируются; методы бьют в реальные адреса /billing/*."
FALSE,"10","4. Фронтенд","Оплата из UI: тарифы; калькулятор; redirect","Фронтенд","Сложная","1-2ч","Не начато","Витрина тарифов и калькулятор берут цены с сервера; Перейти к оплате уводит на Fondy и возвращает обратно со статусом.","Главный сценарий эпика: реальные деньги вместо декорации.","front/src/pages/dashboard/Billing/Billing.tsx; hooks/useBillingCalculator.ts; components/tabs/PlansTab.tsx; components/modals/UpgradeModal.tsx; constants.ts","Тарифы и скидки — GET /billing/plans (снести plans/periodDiscounts из constants.ts; расчёт в калькуляторе оставить но на серверных цифрах); кнопка оплаты → POST /billing/checkout → window.location.href = checkout_url; обработать возврат по response_url (?payment=success или fail): показать статус и перезагрузить GET /billing/plan; истина — вебхук; после success перезапрашивать подписку а не рисовать её локально.","Полный клик-путь: выбрал Pro на 12 мес → оплатил тестовой картой → вернулся → страница показывает активный Pro и дату окончания."
