"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","0. Подготовка","Проверить, что в базе всё на месте","Бэкенд","Простая","1ч","Не начато","Перед кодом убедиться, что в базе уже есть все нужные поля и таблицы, чтобы по ходу не выяснилось, что чего-то нет.","Сэкономить время: узнать о нехватке сейчас, а не в середине эпика.","back/models/*.py (только читаем)","Проверить наличие studio_id у клиентов/услуг/филиалов/залов; role в studio_members; is_online у зала; таблицу Service.","Записан вывод: миграции не нужны. Если чего-то нет — заведена отдельная задача."
FALSE,"2","1. Фундамент","Единый формат списков (обёртка Page)","Бэкенд","Средняя","1ч","Не начато","Сейчас списки приходят просто пачкой без указания общего числа. Делаем стандартную коробку вокруг любого списка: и записи, и число всего их столько-то.","Иначе приложение тянет все данные разом (тормоза) или не знает, есть ли ещё.","back/schemas/common.py","Создать модель Page с полями: items, total, offset, limit; существующий в том же файле неиспользуемый PaginatedResponse удалить или заменить — контракт пагинации должен остаться один.","Коробку можно подключить к любому списку; в ответе появляются items и total; старый PaginatedResponse нигде не используется."
FALSE,"3","1. Фундамент","Общая функция какая студия у пользователя","Бэкенд","Сложная","1-2ч","Не начато","В разных файлах повторяется один и тот же код достань из токена студию пользователя. Пишем это один раз в общем месте, заодно достаём роль.","Это основа всей проверки прав, от неё зависят почти все следующие задачи.","back/dependencies.py","Написать get_studio_context (возвращает пользователя, студию, роль). ЛОВУШКА: токен содержит студию/роль только если у человека одна студия — учесть случай нескольких.","Любой файл сервера одной строкой получает студию и роль вошедшего."
FALSE,"4","1. Фундамент","Охранник по ролям (require_role)","Бэкенд","Сложная","1-2ч","Не начато","Охранник на входе: вешаешь на действие — сервер сам проверяет роль и не пускает лишних, отвечая 403 нет доступа.","Закрытие главной дыры в безопасности: сейчас проверки роли на сервере почти нет.","back/dependencies.py","Написать require_role(owner) и require_role(owner, admin); при неподходящей роли — ошибка 403.","На тестовом действии тренер получает 403, а владелец проходит."
FALSE,"5","1. Фундамент","Переключить старый код на новую функцию","Бэкенд","Средняя","1-2ч","Не начато","Скучная уборка: заменить в уже написанных файлах повторяющийся код на общую функцию из задачи 3. Нового не появляется.","Чтобы не тащить копипасту и не чинить одну ошибку в пяти местах.","back/routers/clients/profiles.py; back/routers/staff/profiles.py; back/routers/staff/schedule.py; back/routers/staff/actions.py; back/routers/studio/router.py","Удалить повторяющийся кусок про студию из токена (он в 5 файлах); подключить общую функцию из задачи 3.","Помощник _studio_id_from_token удалён из всех 5 файлов; всё что работало раньше работает так же. Осторожно: в клиентах ~20 мест; при >2ч разбить."
FALSE,"6","2. Защита","Закрыть Каталог для всех, кроме владельца","Бэкенд","Простая","1ч","Не начато","Повесить охранника из задачи 4 на весь Каталог (филиалы, залы, услуги) — только владелец.","Каталог по ТЗ доступен только владельцу.","back/routers/studio/router.py","Навесить require_role(owner) на эндпоинты Каталога.","Тренер получает 403 на список филиалов, владелец — нормальный ответ."
FALSE,"7","2. Защита","Закрыть Клиентов (владелец + админ)","Бэкенд","Простая","1ч","Не начато","Повесить охранника на Клиентов так, чтобы пускало владельца и админа. Правило тренер видит только своих — НЕ здесь (нет связи клиент-тренер до Эпика 2).","Закрыть раздел от тех, кому он не положен.","back/routers/clients/profiles.py","Навесить require_role(owner, admin) на раздел Клиенты.","Без роли owner/admin — 403; владелец и админ видят всех клиентов студии."
FALSE,"8","2. Защита","Закрыть Сотрудников для владельца","Бэкенд","Простая","1ч","Не начато","Раздел Сотрудники — только для владельца. Вешаем охранника.","По ТЗ Сотрудники доступны только владельцу.","back/routers/staff/profiles.py; back/routers/staff/actions.py; back/routers/staff/schedule.py","Навесить require_role(owner) на весь раздел. ВАЖНО: profiles.py и schedule.py содержат реальную логику (расписание; отмена занятия) — не переписывать; только guard. actions.py (Написать/Позвонить) — заглушки без реальной отправки; guard вешается и на них.","Админ и тренер получают 403 на список сотрудников; владелец — ответ."
FALSE,"9","3. Списки","Список клиентов в новом формате","Бэкенд","Средняя","1-2ч","Не начато","Переделать выдачу списка клиентов в коробку из задачи 2, чтобы сервер сообщал общее число и можно было грузить порциями.","Основа для кнопки Загрузить ещё и для скорости на больших данных.","back/routers/clients/profiles.py, back/schemas/clients/responses.py","Вернуть список как Page (items+total); посчитать total тем же фильтром.","В ответе есть items и total; total совпадает с реальным числом в базе."
FALSE,"10","3. Списки","Список сотрудников в новом формате","Бэкенд","Средняя","1-2ч","Не начато","То же, что задача 9, но для списка сотрудников.","Единый формат списков во всём приложении.","back/routers/staff/profiles.py, back/schemas/staff/staff.py","Привести список сотрудников к формату Page с total, offset, limit.","Список сотрудников приходит в коробке с items и total."
